USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO
25,91,11854,1682713382,,0,1682713421,1.000.000,0,0,1,0,2023-04-28 20:23:02,2023-04-28 20:23:41,10.0,10,aluno 04,91,Questão 12,False,True
25,94,14116,1682904444,,0,1682904536,10.000.000,0,0,2,0,2023-05-01 01:27:24,2023-05-01 01:28:56,10.0,4,aluno 04,94,Questão 18,False,True
25,95,14079,1682902314,,0,1682902376,10.000.000,0,0,1,0,2023-05-01 00:51:54,2023-05-01 00:52:56,10.0,2,aluno 04,95,Questão 17,False,True
26,75,11998,1682714032,,0,1682714036,10.000.000,0,0,2,0,2023-04-28 20:33:52,2023-04-28 20:33:56,10.0,2,aluno 05,75,Questão 15,False,True
26,76,11896,1682713594,,0,1682713628,1.000.000,0,0,3,0,2023-04-28 20:26:34,2023-04-28 20:27:08,10.0,12,aluno 05,76,Questão 14,False,True
26,77,12235,1682715029,,0,1682715033,1.000.000,0,0,2,0,2023-04-28 20:50:29,2023-04-28 20:50:33,10.0,4,aluno 05,77,Questão 16,False,True
26,79,8292,1682346700,,0,1682346705,1.000.000,0,0,1,0,2023-04-24 14:31:40,2023-04-24 14:31:45,10.0,1,aluno 05,79,Questão 1,False,True
26,80,8322,1682353680,,0,1682353699,1.000.000,0,0,1,0,2023-04-24 16:28:00,2023-04-24 16:28:19,10.0,4,aluno 05,80,Questão 2,False,True
26,81,8332,1682354058,,0,1682354083,1.000.000,0,0,1,0,2023-04-24 16:34:18,2023-04-24 16:34:43,10.0,2,aluno 05,81,Questão 3,False,True
26,82,8391,1682354651,,0,1682354654,1.000.000,0,0,3,0,2023-04-24 16:44:11,2023-04-24 16:44:14,10.0,3,aluno 05,82,Questão 4,False,True
26,83,8412,1682354796,,0,1682354801,1.000.000,0,0,1,0,2023-04-24 16:46:36,2023-04-24 16:46:41,10.0,1,aluno 05,83,Questão 5,False,True
26,84,8504,1682355206,,0,1682355210,1.000.000,0,0,2,0,2023-04-24 16:53:26,2023-04-24 16:53:30,10.0,2,aluno 05,84,Questão 6,False,True
26,85,8617,1682355615,,0,1682355687,1.000.000,0,0,1,0,2023-04-24 17:00:15,2023-04-24 17:01:27,10.0,2,aluno 05,85,Questão 7,False,True
26,86,8806,1682356332,,0,1682356345,1.000.000,0,0,3,0,2023-04-24 17:12:12,2023-04-24 17:12:25,10.0,6,aluno 05,86,Questão 8,False,True
26,87,8990,1682357232,,0,1682357236,1.000.000,0,0,4,0,2023-04-24 17:27:12,2023-04-24 17:27:16,10.0,8,aluno 05,87,Questão 9,False,True
26,88,9098,1682357729,,0,1682357743,1.000.000,0,0,2,0,2023-04-24 17:35:29,2023-04-24 17:35:43,10.0,3,aluno 05,88,Questão 10,False,True
26,90,15713,1683289782,,0,1683289786,1.000.000,0,0,13,0,2023-05-05 12:29:42,2023-05-05 12:29:46,10.0,30,aluno 05,90,Questão 11,False,True
26,91,10055,1682559921,,0,1682559925,1.000.000,0,0,4,0,2023-04-27 01:45:21,2023-04-27 01:45:25,10.0,5,aluno 05,91,Questão 12,False,True
26,94,14790,1683121334,,0,1683121339,10.000.000,0,0,4,0,2023-05-03 13:42:14,2023-05-03 13:42:19,10.0,9,aluno 05,94,Questão 18,False,True
26,95,12348,1682715503,,0,1682715506,10.000.000,0,0,4,0,2023-04-28 20:58:23,2023-04-28 20:58:26,10.0,2,aluno 05,95,Questão 17,False,True
27,75,11444,1682690452,,0,1682690456,10.000.000,0,0,2,0,2023-04-28 14:00:52,2023-04-28 14:00:56,10.0,3,aluno 27,75,Questão 15,False,True
27,76,11936,1682713816,,0,1682713911,1.000.000,0,0,3,0,2023-04-28 20:30:16,2023-04-28 20:31:51,10.0,10,aluno 27,76,Questão 14,False,True
27,77,12596,1682716771,,0,1682716774,1.000.000,0,0,7,0,2023-04-28 21:19:31,2023-04-28 21:19:34,10.0,12,aluno 27,77,Questão 16,False,True
27,79,8976,1682357185,,0,1682357190,1.000.000,0,0,7,0,2023-04-24 17:26:25,2023-04-24 17:26:30,10.0,10,aluno 27,79,Questão 1,False,True
27,80,9021,1682357334,,0,1682357337,500.000,0,0,6,0,2023-04-24 17:28:54,2023-04-24 17:28:57,5.0,13,aluno 27,80,Questão 2,False,True
27,81,8937,1682356983,,0,1682356988,1.000.000,0,0,4,0,2023-04-24 17:23:03,2023-04-24 17:23:08,10.0,6,aluno 27,81,Questão 3,False,True
27,82,9316,1682358702,,0,1682358705,1.000.000,0,0,2,0,2023-04-24 17:51:42,2023-04-24 17:51:45,10.0,3,aluno 27,82,Questão 4,False,True
27,83,9401,1682359156,,0,1682359192,1.000.000,0,0,1,0,2023-04-24 17:59:16,2023-04-24 17:59:52,10.0,1,aluno 27,83,Questão 5,False,True
27,84,10302,1682600013,,0,1682600018,1.000.000,0,0,5,0,2023-04-27 12:53:33,2023-04-27 12:53:38,10.0,6,aluno 27,84,Questão 6,False,True
27,85,10387,1682603220,,0,1682603340,1.000.000,0,0,8,0,2023-04-27 13:47:00,2023-04-27 13:49:00,10.0,20,aluno 27,85,Questão 7,False,True
27,86,10432,1682604671,,0,1682604687,1.000.000,0,0,3,0,2023-04-27 14:11:11,2023-04-27 14:11:27,10.0,5,aluno 27,86,Questão 8,False,True
27,87,10560,1682613475,,0,1682613494,667.000,0,0,10,0,2023-04-27 16:37:55,2023-04-27 16:38:14,6.67,13,aluno 27,87,Questão 9,False,True
27,88,10783,1682642987,,0,1682642995,1.000.000,0,0,3,0,2023-04-28 00:49:47,2023-04-28 00:49:55,10.0,3,aluno 27,88,Questão 10,False,True
27,90,10816,1682644104,,0,1682644113,1.000.000,0,0,2,0,2023-04-28 01:08:24,2023-04-28 01:08:33,10.0,4,aluno 27,90,Questão 11,False,True
27,91,10879,1682646757,,0,1682646761,1.000.000,0,0,6,0,2023-04-28 01:52:37,2023-04-28 01:52:41,10.0,13,aluno 27,91,Questão 12,False,True
27,94,16505,1683555651,,0,1683555686,10.000.000,0,0,8,0,2023-05-08 14:20:51,2023-05-08 14:21:26,10.0,17,aluno 27,94,Questão 18,True,False
27,95,13753,1682877982,,0,1682877988,10.000.000,0,0,4,0,2023-04-30 18:06:22,2023-04-30 18:06:28,10.0,4,aluno 27,95,Questão 17,False,True
