ID,COURSE,NAME,SHORTDESCRIPTION,INTRO,INTROFORMAT,STARTDATE,DUEDATE
61,6,Questão 21,"Faça um programa em C que leia o valor do raio de um círculo e calcule e imprima a área do círculo correspondente. A área do círculo é calculada pela fórmula pi = raio2, considere pi = 3.141592","<p dir=""ltr"" style=""text-align: left;""></p><p></p><p>Faça um programa em C que leia o valor do
raio de um círculo e calcule e imprima a área do círculo correspondente. A área
do círculo é calculada pela fórmula pi = raio<sup>2</sup>, considere pi =
3.141592</p><p>Exemplo de saída:</p><p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.10.40.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p><br><p></p>",1,0,1687132800
62,6,Questão 22,"Sejam a e b os catetos de um triângulo, onde a hipotenusa é obtida pela equação: hipotenusa=√(a^2+b^2 ). Faça um programa que receba os valores dos catetos e calcule valor da hipotenusa por meio da equação. Imprima o resultado dessa operação.","<p dir=""ltr"" style=""text-align: left;"">Sejam a e b os catetos de um triângulo, onde a hipotenusa é obtida pela equação: hipotenusa=√(a^2+b^2 ). Faça um programa que receba os valores dos catetos e calcule valor da hipotenusa por meio da equação. Imprima o resultado dessa operação.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.16.30.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687132800
63,6,Questão 23,"Faça um programa em C que leia o valor de um produto e imprima o valor com desconto, tendo em vista que o desconto foi de 12%.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa em C que leia o valor de um produto e imprima o valor com desconto, tendo em vista que o desconto foi de 12%.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2000.20.44.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687219200
64,6,Questão 24,"Faça um programa em C que leia o salário de uma funcionária. Calcule e imprima o valor do novo salário, sabendo que ele recebeu um aumento de 25%.","<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa em C que leia o salário
de uma funcionária. Calcule e imprima o valor do novo salário, sabendo que ele
recebeu um aumento de 25%<ins cite=""mailto:."" datetime=""2022-11-05T19:18"">.</ins></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.28.18.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687219200
65,6,Questão 25,"A importância de R$ 780.000,00 será dividida entre três ganhadores de uma loteria. Sendo que da quantia total, o primeiro ganhador receberá 46%; o segundo receberá 32%; e o terceiro receberá o restante. Faça um programa em C que calcule e imprima a quantia ganha por cada um dos ganhadores.","<p dir=""ltr"" style=""text-align: left;""></p><p>A importância de R$ 780.000,00 será
dividida entre três ganhadores de uma loteria. Sendo que da quantia total, o
primeiro ganhador receberá 46%; o segundo receberá 32%; e o terceiro receberá o
restante. Faça um programa em C que calcule e imprima a quantia ganha por cada
um dos ganhadores.</p><p>Exemplo de saída:</p><p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.33.22.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p><br><p></p>",1,0,1687219200
66,6,Questão 26,"Uma empresa contrata um programador por R$330,00 por dia. Faça um programa em C que solicite o número de dias trabalhados pelo programador e imprima a quantia líquida que deverá ser paga, sabendo-se que são descontados 8% para imposto de renda.","<p dir=""ltr"" style=""text-align: left;""></p><p>Uma empresa contrata um programador por
R$330,00 por dia. Faça um programa em C que solicite o número de dias trabalhados
pelo programador e imprima a quantia líquida&nbsp;que deverá ser paga, sabendo-se
que são descontados 8% para imposto de renda.</p><p>Exemplo de saída:</p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.42.24.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1687219200
67,6,Questão 27,"Faça um programa em C que receba o salário base de uma funcionária. Calcule e imprima o salário a receber. Sabendo que essa funcionária recebe uma gratificação de 5% sobre o salário-base. Além disso, ela paga 7% de imposto sobre o salário base.","<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa em C que receba o salário base
de uma funcionária. Calcule e imprima o salário a receber. Sabendo que essa
funcionária recebe uma gratificação de 5% sobre o salário-base. Além disso, ela
paga 7% de imposto sobre o salário bruto.</p>Exemplo de saída:<br><br><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2011.47.17.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1687305600
68,6,Questão DESAFIO!,"28.	DESAFIO! Usando apenas as técnicas aprendidas até agora, escreva um programa em C que calcule o quadrado e o cubo dos números de 0 a 10 e use tabulações para imprimir a seguinte tabela de valores. ","<p dir=""ltr"" style=""text-align: left;""></p><p>DESAFIO! Usando apenas as técnicas
aprendidas até agora, escreva um programa em C que calcule o quadrado e o cubo
dos números de 0 a 10 e use tabulações para imprimir a seguinte tabela de
valores. </p><p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2020.26.11.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p><br><p></p>",1,0,1687305600
69,6,Exemplo 1,,"<p dir=""ltr"" style=""text-align: left;"">Número Negativo ou Positivo?</p><p dir=""ltr"" style=""text-align: left;"">Exemplo saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.18.57.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.19.17.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
70,6,Exemplo 2,,"<p dir=""ltr"" style=""text-align: left;"">Número positivo ou negativo!</p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.21.51.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.22.15.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
